ano,fase,pedra,ian,faixa_ian,ida,ieg,iaa,ips,ipp,defasagem,risco_defasagem,origem_aba,ra,turma,nome,ano_nasc,idade_22,genero,ano_ingresso,instituicao_de_ensino,pedra_20,pedra_21,pedra_22,inde_22,cg,cf,ct,nº_av,avaliador1,rec_av1,avaliador2,rec_av2,avaliador3,rec_av3,avaliador4,rec_av4,rec_psicologia,matem,portug,ingles,indicado,atingiu_pv,ipv,fase_ideal,destaque_ieg,destaque_ida,destaque_ipv,inde_2023,nome_anonimizado,data_de_nasc,idade,pedra_23,inde_23,mat,por,ing,destaque_ipv_1,inde_2024,avaliador5,avaliador6,escola,ativo_inativo,ativo_inativo_1
2022,7,,5.0,Moderada,3.0,4.2,9.2,5.0,,-1,1,PEDE2022,RA-11,A,Aluno-11,2004.0,18.0,Menina,2016,Escola Pública,Quartzo,Ágata,Quartzo,5.323,799.0,19.0,11.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Requer avaliação,1.8,2.5,4.5,Não,Não,6.389,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,10.0,Adequada,1.5,4.0,0.0,6.9,,0,0,PEDE2022,RA-12,A,Aluno-12,2005.0,17.0,Menina,2020,Escola Pública,Ágata,Ágata,Quartzo,4.832,834.0,20.0,12.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Sem limitações,2.7,1.1,0.7,Sim,Não,6.389,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,4.7,7.4,7.9,7.5,,-1,1,PEDE2022,RA-13,A,Aluno-13,2004.0,18.0,Menino,2016,Escola Pública,Ametista,Ametista,Ágata,6.902,524.0,10.0,4.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Sem limitações,3.5,5.5,5.2,Sim,Não,8.056,Fase 8 (Universitários),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,4.0,8.3,7.9,7.5,,-1,1,PEDE2022,RA-14,D,Aluno-14,2001.0,21.0,Menino,2022,Escola Pública,,,Ágata,6.793,558.0,12.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Não atendido,8.0,0.0,,Sim,Não,7.75,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,7.3,10.0,8.8,7.5,,-1,1,PEDE2022,RA-15,D,Aluno-15,2004.0,18.0,Menino,2022,Escola Pública,,,Ametista,7.783,207.0,3.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Não atendido,8.0,6.5,,Sim,Não,7.292,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,3.5,8.3,7.9,5.0,,-1,1,PEDE2022,RA-16,D,Aluno-16,2003.0,19.0,Menino,2022,Escola Pública,,,Ágata,6.112,706.0,14.0,8.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Requer avaliação,7.0,0.0,,Sim,Não,6.333,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,7.8,10.0,8.8,7.5,,-1,1,PEDE2022,RA-17,D,Aluno-17,2002.0,20.0,Menino,2022,Escola Pública,,,Topázio,8.068,125.0,2.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Não atendido,9.0,6.5,,Sim,Não,8.292,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,9.0,8.7,6.3,6.3,,-1,1,PEDE2022,RA-18,D,Aluno-18,2003.0,19.0,Menino,2022,Escola Pública,,,Ametista,7.226,418.0,7.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Requer avaliação,9.0,9.0,,Sim,Não,6.875,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,8.0,9.5,7.9,7.5,,-1,1,PEDE2022,RA-19,D,Aluno-19,2003.0,19.0,Menina,2022,Escola Pública,,,Ametista,7.665,248.0,4.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Sem limitações,7.0,9.0,,Sim,Não,7.0,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,7.8,10.0,7.1,6.3,,-1,1,PEDE2022,RA-20,D,Aluno-20,2003.0,19.0,Menina,2022,Escola Pública,,,Ametista,7.535,296.0,5.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase + Bolsa,Avaliador-31,Mantido na Fase atual,Não atendido,9.0,6.5,,Sim,Não,7.167,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,7,,5.0,Moderada,3.8,9.2,9.6,7.5,,-1,1,PEDE2022,RA-21,D,Aluno-21,2004.0,18.0,Menino,2022,Escola Pública,,,Ágata,6.945,508.0,9.0,6.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Não atendido,7.0,0.5,,Sim,Não,7.25,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,6.7,7.4,8.3,8.1,,-1,1,PEDE2022,RA-22,A,Aluno-22,2005.0,17.0,Menina,2019,Rede Decisão,Ametista,Ágata,Ametista,7.474,327.0,10.0,10.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,Sem limitações,9.0,3.1,7.8,Não,Sim,8.833,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,6.7,8.2,8.3,8.1,,-1,1,PEDE2022,RA-23,A,Aluno-23,2005.0,17.0,Menino,2021,Escola Pública,,Ametista,Ametista,7.677,243.0,8.0,8.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,7.2,4.7,8.2,Sim,Sim,8.556,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,8.6,7.9,9.2,6.9,,-1,1,PEDE2022,RA-24,A,Aluno-24,2005.0,17.0,Menina,2021,Rede Decisão,,Topázio,Topázio,8.087,119.0,5.0,5.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Requer avaliação,10.0,6.3,9.7,Não,Sim,9.111,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,6.9,8.3,8.3,8.8,,-1,1,PEDE2022,RA-25,A,Aluno-25,2005.0,17.0,Menina,2021,Escola Pública,,Topázio,Ametista,7.979,147.0,6.0,6.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,9.2,3.8,7.7,Sim,Sim,9.667,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,8.0,8.8,9.6,10.0,,-1,1,PEDE2022,RA-26,A,Aluno-26,2005.0,17.0,Menino,2022,Escola Pública,,,Topázio,8.677,17.0,3.0,3.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,9.5,4.4,10.0,Sim,Sim,10.0,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,8.0,7.6,0.0,8.1,,-1,1,PEDE2022,RA-27,A,Aluno-27,2005.0,17.0,Menino,2016,Rede Decisão,Topázio,Ametista,Ametista,7.124,449.0,12.0,12.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,7.7,6.3,10.0,Não,Sim,9.111,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,5.0,6.1,7.9,7.5,,-1,1,PEDE2022,RA-28,A,Aluno-28,2005.0,17.0,Menina,2019,Escola Pública,Ametista,Ametista,Ágata,6.242,698.0,14.0,14.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,Requer avaliação,8.2,1.5,5.3,Não,Não,6.333,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,3.7,4.0,0.0,8.8,,-1,1,PEDE2022,RA-29,A,Aluno-29,2005.0,17.0,Menino,2022,Escola Pública,,,Quartzo,4.985,821.0,16.0,16.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,Requer avaliação,6.3,1.1,3.8,Sim,Não,7.611,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,10.0,Adequada,7.5,6.4,8.8,7.5,,0,0,PEDE2022,RA-30,A,Aluno-30,2006.0,16.0,Menina,2021,Escola Pública,,Ametista,Ametista,7.605,270.0,9.0,9.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,Sem limitações,8.5,4.4,9.7,Não,Não,7.333,Fase 6 (2º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,8.0,9.5,10.0,9.4,,-1,1,PEDE2022,RA-31,A,Aluno-31,2005.0,17.0,Menina,2019,Rede Decisão,Topázio,Topázio,Topázio,8.843,9.0,2.0,2.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,9.0,5.7,9.3,Não,Sim,10.0,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,10.0,Adequada,6.1,5.2,8.8,8.8,,0,0,PEDE2022,RA-32,A,Aluno-32,2006.0,16.0,Menina,2018,Rede Decisão,Ametista,Ametista,Ametista,7.37,370.0,11.0,11.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,Sem limitações,5.7,3.6,8.9,Não,Não,7.944,Fase 6 (2º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,4.8,4.6,0.0,7.5,,-1,1,PEDE2022,RA-33,A,Aluno-33,2005.0,17.0,Menina,2020,Escola Pública,Ágata,Ametista,Quartzo,4.952,824.0,17.0,17.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,Sem limitações,9.0,1.6,3.7,Não,Não,6.0,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,3.8,4.8,9.6,8.1,,-1,1,PEDE2022,RA-34,A,Aluno-34,2005.0,17.0,Menino,2016,Rede Decisão,Ametista,Ametista,Ágata,6.259,692.0,13.0,13.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,4.7,4.0,2.8,Não,Não,7.278,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,8.5,9.6,10.0,9.4,,-1,1,PEDE2022,RA-35,A,Aluno-35,2005.0,17.0,Menina,2019,Rede Decisão,Ametista,Topázio,Topázio,8.965,5.0,1.0,1.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,9.0,7.1,9.3,Não,Sim,10.0,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,6.8,9.0,9.2,6.9,,-1,1,PEDE2022,RA-36,A,Aluno-36,2005.0,17.0,Menina,2019,Rede Decisão,Topázio,Ametista,Ametista,7.876,177.0,7.0,7.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,8.5,4.3,7.8,Não,Sim,8.944,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,5.9,5.4,0.0,5.0,,-1,1,PEDE2022,RA-37,A,Aluno-37,2005.0,17.0,Menina,2019,Rede Decisão,Ametista,Ágata,Quartzo,4.95,825.0,18.0,18.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,Sem limitações,2.3,5.3,10.0,Não,Não,5.222,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,5.0,Moderada,8.6,8.9,9.2,7.5,,-1,1,PEDE2022,RA-38,A,Aluno-38,2005.0,17.0,Menina,2017,Rede Decisão,Ametista,Ametista,Topázio,8.523,31.0,4.0,4.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Não indicado,9.0,7.0,9.7,Não,Sim,9.833,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,6,,10.0,Adequada,6.9,4.8,0.0,6.9,,0,0,PEDE2022,RA-39,A,Aluno-39,2006.0,16.0,Menina,2017,Rede Decisão,Ametista,Ametista,Ágata,6.033,722.0,15.0,15.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,Requer avaliação,7.7,5.1,7.8,Não,Não,6.111,Fase 6 (2º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
2022,5,,5.0,Moderada,6.8,7.8,7.9,7.5,,-1,1,PEDE2022,RA-40,A,Aluno-40,2006.0,16.0,Menina,2016,Rede Decisão,Ametista,Ágata,Ametista,7.203,429.0,27.0,3.0,3.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,Sem limitações,4.7,7.3,8.4,Não,Não,7.75,Fase 6 (2º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,,,,,,,,,,,,,,,
